SECS,FLUOR,NORM_FLUOR,SOURCE
0.000366091,255996,0.518943143,INDUCTION-4188-20201116-10_53_39
0.000370144,256440,0.520402963,INDUCTION-4188-20201116-10_53_39
0.000374198,256825,0.521668798,INDUCTION-4188-20201116-10_53_39
0.000378012,257312,0.523269998,INDUCTION-4188-20201116-10_53_39
0.000382065,257639,0.524345136,INDUCTION-4188-20201116-10_53_39
0.000386118,258093,0.525837835,INDUCTION-4188-20201116-10_53_39
0.000390172,258421,0.526916261,INDUCTION-4188-20201116-10_53_39
0.000394225,258858,0.528353066,INDUCTION-4188-20201116-10_53_39
0.000398039,259091,0.529119143,INDUCTION-4188-20201116-10_53_39
0.000402093,259521,0.530532933,INDUCTION-4188-20201116-10_53_39
0.000406146,259809,0.531479844,INDUCTION-4188-20201116-10_53_39
0.000410199,260182,0.532706224,INDUCTION-4188-20201116-10_53_39
0.000414013,260462,0.533626832,INDUCTION-4188-20201116-10_53_39
0.000418067,260844,0.534882803,INDUCTION-4188-20201116-10_53_39
0.00042212,261109,0.535754093,INDUCTION-4188-20201116-10_53_39
0.000426173,261371,0.536615518,INDUCTION-4188-20201116-10_53_39
0.000430226,261633,0.537476944,INDUCTION-4188-20201116-10_53_39
0.000434041,261901,0.538358097,INDUCTION-4188-20201116-10_53_39
0.000438094,262240,0.539472689,INDUCTION-4188-20201116-10_53_39
0.000442147,262539,0.540455766,INDUCTION-4188-20201116-10_53_39
0.0004462,262718,0.541044298,INDUCTION-4188-20201116-10_53_39
0.000450015,263055,0.542152315,INDUCTION-4188-20201116-10_53_39
0.000454068,263315,0.543007164,INDUCTION-4188-20201116-10_53_39
0.000458121,263579,0.543875166,INDUCTION-4188-20201116-10_53_39
0.000462174,263731,0.544374924,INDUCTION-4188-20201116-10_53_39
0.000466227,264010,0.545292244,INDUCTION-4188-20201116-10_53_39
0.000470042,264259,0.546110927,INDUCTION-4188-20201116-10_53_39
0.000474095,264483,0.546847413,INDUCTION-4188-20201116-10_53_39
0.000478148,264622,0.547304428,INDUCTION-4188-20201116-10_53_39
0.000482201,264767,0.547781172,INDUCTION-4188-20201116-10_53_39
0.000486016,265143,0.549017416,INDUCTION-4188-20201116-10_53_39
0.000490069,265332,0.549638826,INDUCTION-4188-20201116-10_53_39
0.000494122,265467,0.55008269,INDUCTION-4188-20201116-10_53_39
0.000498175,265697,0.550838904,INDUCTION-4188-20201116-10_53_39
0.000502228,265755,0.551029601,INDUCTION-4188-20201116-10_53_39
0.000506043,266040,0.551966648,INDUCTION-4188-20201116-10_53_39
0.000510096,266223,0.55256833,INDUCTION-4188-20201116-10_53_39
0.000514149,266398,0.55314371,INDUCTION-4188-20201116-10_53_39
0.000518202,266577,0.553732241,INDUCTION-4188-20201116-10_53_39
0.000522017,266666,0.554024863,INDUCTION-4188-20201116-10_53_39
0.00052607,266878,0.554721894,INDUCTION-4188-20201116-10_53_39
0.000530123,267091,0.555422214,INDUCTION-4188-20201116-10_53_39
0.000534176,267288,0.556069927,INDUCTION-4188-20201116-10_53_39
0.000537991,267429,0.556533518,INDUCTION-4188-20201116-10_53_39
0.000542044,267633,0.557204247,INDUCTION-4188-20201116-10_53_39
0.000546097,267747,0.557579065,INDUCTION-4188-20201116-10_53_39
0.00055015,267893,0.558059096,INDUCTION-4188-20201116-10_53_39
0.000554204,267977,0.558335279,INDUCTION-4188-20201116-10_53_39
0.000558018,268120,0.558805446,INDUCTION-4188-20201116-10_53_39
0.000562071,268271,0.559301917,INDUCTION-4188-20201116-10_53_39
0.000566125,268458,0.559916751,INDUCTION-4188-20201116-10_53_39
0.000570178,268590,0.560350751,INDUCTION-4188-20201116-10_53_39
0.000573992,268680,0.560646661,INDUCTION-4188-20201116-10_53_39
0.000578045,268771,0.560945858,INDUCTION-4188-20201116-10_53_39
0.000582099,268906,0.561389723,INDUCTION-4188-20201116-10_53_39
0.000586152,269022,0.561771117,INDUCTION-4188-20201116-10_53_39
0.000590205,269181,0.562293891,INDUCTION-4188-20201116-10_53_39
0.000594019,269237,0.562478012,INDUCTION-4188-20201116-10_53_39
0.000598073,269376,0.562935028,INDUCTION-4188-20201116-10_53_39
0.000602126,269464,0.563224362,INDUCTION-4188-20201116-10_53_39
