SECS,FLUOR,NORM_FLUOR,SOURCE
0.000366091,1721,0.553466581,INDUCTION-4188-20201116-10_53_39
0.000370144,1604,0.494651331,INDUCTION-4188-20201116-10_53_39
0.000374198,1610,0.497667498,INDUCTION-4188-20201116-10_53_39
0.000378012,1712,0.548942331,INDUCTION-4188-20201116-10_53_39
0.000382065,1701,0.543412692,INDUCTION-4188-20201116-10_53_39
0.000386118,1650,0.517775275,INDUCTION-4188-20201116-10_53_39
0.000390172,1676,0.530845331,INDUCTION-4188-20201116-10_53_39
0.000394225,1612,0.498672887,INDUCTION-4188-20201116-10_53_39
0.000398039,1655,0.520288748,INDUCTION-4188-20201116-10_53_39
0.000402093,1626,0.505710609,INDUCTION-4188-20201116-10_53_39
0.000406146,1620,0.502694442,INDUCTION-4188-20201116-10_53_39
0.000410199,1650,0.517775275,INDUCTION-4188-20201116-10_53_39
0.000414013,1702,0.543915386,INDUCTION-4188-20201116-10_53_39
0.000418067,1694,0.539893831,INDUCTION-4188-20201116-10_53_39
0.00042212,1653,0.519283359,INDUCTION-4188-20201116-10_53_39
0.000426173,1703,0.544418081,INDUCTION-4188-20201116-10_53_39
0.000430226,1692,0.538888442,INDUCTION-4188-20201116-10_53_39
0.000434041,1723,0.55447197,INDUCTION-4188-20201116-10_53_39
0.000438094,1649,0.517272581,INDUCTION-4188-20201116-10_53_39
0.000442147,1656,0.520791442,INDUCTION-4188-20201116-10_53_39
0.0004462,1685,0.535369581,INDUCTION-4188-20201116-10_53_39
0.000450015,1663,0.524310303,INDUCTION-4188-20201116-10_53_39
0.000454068,1639,0.512245637,INDUCTION-4188-20201116-10_53_39
0.000458121,1624,0.50470522,INDUCTION-4188-20201116-10_53_39
0.000462174,1656,0.520791442,INDUCTION-4188-20201116-10_53_39
0.000466227,1770,0.578098609,INDUCTION-4188-20201116-10_53_39
0.000470042,1684,0.534866887,INDUCTION-4188-20201116-10_53_39
0.000474095,1650,0.517775275,INDUCTION-4188-20201116-10_53_39
0.000478148,1676,0.530845331,INDUCTION-4188-20201116-10_53_39
0.000482201,1774,0.580109386,INDUCTION-4188-20201116-10_53_39
0.000486016,1734,0.560001609,INDUCTION-4188-20201116-10_53_39
0.000490069,1662,0.523807609,INDUCTION-4188-20201116-10_53_39
0.000494122,1638,0.511742942,INDUCTION-4188-20201116-10_53_39
0.000498175,1678,0.53185072,INDUCTION-4188-20201116-10_53_39
0.000502228,1720,0.552963886,INDUCTION-4188-20201116-10_53_39
0.000506043,1758,0.572066275,INDUCTION-4188-20201116-10_53_39
